Brand,Car Age,Price,Body,Mileage,EngineV,Engine Type,Model
Renault,10,6999.0,van,222,1.5,Diesel,Kangoo
Renault,15,6750.0,vagon,214,1.5,Diesel,Megane
Audi,13,18500.0,sedan,245,3.0,Diesel,A8
Toyota,10,14299.0,sedan,83,2.0,Petrol,Avensis
Mercedes-Benz,12,28500.0,crossover,210,3.2,Diesel,GL 320
Mitsubishi,11,17000.0,crossover,89,3.8,Petrol,Pajero Wagon
Mercedes-Benz,11,25700.0,crossover,130,4.7,Gas,GL 450
Audi,19,2650.0,vagon,333,2.5,Diesel,A6
Mitsubishi,11,8500.0,sedan,116,1.5,Petrol,Lancer X
Mercedes-Benz,27,4000.0,sedan,405,2.0,Diesel,200
Renault,8,11000.0,other,131,1.5,Diesel,Kangoo
Mercedes-Benz,12,14500.0,sedan,138,2.0,Petrol,E-Class
BMW,31,4099.0,sedan,50,2.5,Petrol,520
Volkswagen,5,31500.0,crossover,1,2.0,Petrol,Tiguan
Renault,16,4500.0,van,207,1.5,Diesel,Kangoo
Volkswagen,15,6700.0,other,207,1.9,Diesel,Caddy
Mitsubishi,8,20800.0,crossover,31,2.4,Petrol,Outlander XL
Mercedes-Benz,3,107999.0,crossover,0,2.98,Diesel,GLS 350
BMW,20,3500.0,sedan,334,2.0,Diesel,320
Audi,4,39000.0,sedan,18,1.8,Other,A5
Toyota,17,13500.0,crossover,150,4.7,Gas,Land Cruiser 100
Mitsubishi,12,6150.0,sedan,175,1.6,Petrol,Lancer
BMW,9,45500.0,crossover,76,4.4,Petrol,X6 M
BMW,25,4900.0,sedan,295,2.0,Petrol,520
BMW,5,47000.0,other,5,2.0,Petrol,Z4
Toyota,14,19200.0,crossover,190,2.7,Gas,Land Cruiser Prado
Mitsubishi,11,11100.0,crossover,119,2.4,Gas,Outlander
Mitsubishi,7,8200.0,sedan,139,1.5,Other,Lancer X
Volkswagen,12,10300.0,sedan,235,2.0,Petrol,Passat B6
Renault,9,11990.0,van,210,1.1,Diesel,Scenic
BMW,5,46800.0,sedan,33,2.0,Diesel,520
Volkswagen,25,1500.0,other,260,1.8,Gas,Golf III
BMW,17,6350.0,crossover,156,4.4,Gas,X5
Mercedes-Benz,14,8900.0,hatch,155,1.5,Petrol,A 150
Mercedes-Benz,12,12700.0,van,160,3.0,Diesel,Vito
Mitsubishi,12,8000.0,sedan,207,1.6,Gas,Lancer
Toyota,11,29500.0,crossover,63,4.0,Petrol,FJ Cruiser
Renault,11,7100.0,van,208,1.5,Diesel,Kangoo
Renault,9,10850.0,crossover,103,2.5,Gas,Koleos
Volkswagen,6,27000.0,sedan,57,2.0,Diesel,Passat B7
Volkswagen,8,18100.0,other,64,2.0,Petrol,Scirocco
BMW,14,27000.0,sedan,137,5.0,Other,M5
BMW,17,8990.0,other,300,2.2,Petrol,320
Toyota,6,32900.0,crossover,82,2.7,Petrol,Venza
BMW,11,25500.0,other,163,4.8,Petrol,X5
Toyota,16,8900.0,crossover,153,2.0,Petrol,Rav 4
Audi,13,11950.0,sedan,190,3.0,Petrol,A6
Mercedes-Benz,9,22700.0,sedan,125,2.2,Diesel,E-Class
BMW,16,13000.0,sedan,165,2.2,Gas,520
Audi,8,25000.0,other,60,2.0,Petrol,A5
Toyota,11,26900.0,crossover,119,4.0,Gas,Land Cruiser Prado
Mercedes-Benz,3,87777.0,van,0,2.2,Diesel,V 250
Volkswagen,11,6000.0,van,200,2.0,Diesel,Caddy
Audi,16,9800.0,vagon,257,2.5,Diesel,A6
Audi,13,13900.0,other,197,2.0,Diesel,A6
Renault,10,12200.0,van,164,2.5,Diesel,Trafic
Mercedes-Benz,14,13500.0,crossover,205,2.7,Diesel,ML 270
BMW,14,18100.0,crossover,200,4.8,Petrol,X5
BMW,9,33000.0,crossover,200,3.0,Diesel,X5
Volkswagen,8,16900.0,crossover,145,1.4,Petrol,Tiguan
Mercedes-Benz,8,22000.0,sedan,110,1.8,Petrol,C-Class
Volkswagen,12,10700.0,sedan,195,3.2,Petrol,Passat B6
Mercedes-Benz,19,7800.0,sedan,226,2.2,Diesel,E-Class
Mercedes-Benz,11,17300.0,sedan,184,1.8,Gas,E-Class
BMW,5,70000.0,sedan,16,3.0,Diesel,730
Volkswagen,18,2200.0,hatch,118,1.4,Petrol,Lupo
BMW,17,8900.0,sedan,256,2.2,Petrol,5 Series
Mercedes-Benz,6,31600.0,sedan,33,1.6,Petrol,CLA 200
Volkswagen,13,7900.0,other,168,1.9,Diesel,T5 (Transporter)
Toyota,7,28500.0,crossover,97,3.5,Petrol,Highlander
Renault,7,6900.0,van,140,1.5,Diesel,Kangoo
BMW,19,8850.0,vagon,280,2.5,Diesel,525
Renault,20,3100.0,van,164,1.4,Petrol,Kangoo
BMW,19,8900.0,sedan,250,2.5,Petrol,525
Renault,14,6100.0,sedan,130,1.4,Petrol,Megane
BMW,23,1400.0,sedan,260,1.8,Petrol,318
Volkswagen,7,8800.0,van,93,1.6,Diesel,Caddy
Renault,6,10299.0,other,176,2.0,Diesel,Trafic
Renault,15,6500.0,sedan,170,1.6,Petrol,Megane
Toyota,12,9100.0,sedan,151,1.6,Gas,Corolla
Volkswagen,9,9950.0,hatch,95,1.4,Petrol,Polo
Toyota,16,24500.0,crossover,260,4.7,Gas,Land Cruiser 100
Audi,6,51500.0,crossover,27,3.0,Diesel,Q7
Volkswagen,11,12900.0,van,290,1.9,Diesel,T5 (Transporter)
Mercedes-Benz,13,8000.0,van,250,2.2,Diesel,Vito
Mitsubishi,12,8100.0,sedan,112,2.4,Petrol,Galant
Renault,7,10100.0,van,164,2.0,Diesel,Trafic
BMW,22,1900.0,sedan,300,2.5,Diesel,5 Series
Renault,7,10800.0,van,187,2.0,Diesel,Trafic
Audi,15,8000.0,sedan,234,4.2,Gas,A8
Mercedes-Benz,15,15300.0,other,120,2.6,Petrol,CLK 240
Volkswagen,21,2350.0,hatch,182,1.9,Diesel,Golf IV
BMW,4,38888.0,vagon,5,0.65,Other,I3
Toyota,3,99999.0,crossover,0,4.5,Diesel,Land Cruiser 200
Volkswagen,7,17650.0,sedan,110,1.8,Petrol,Passat B7
Volkswagen,14,12999.0,van,237,2.5,Diesel,Multivan
Mercedes-Benz,11,18500.0,other,90,1.8,Petrol,C-Class
Volkswagen,13,9200.0,sedan,195,2.0,Petrol,Passat B6
Volkswagen,3,14500.0,sedan,1,1.6,Other,Polo
Volkswagen,8,18000.0,vagon,18,1.6,Diesel,Passat B7
Mercedes-Benz,16,6800.0,van,250,1.7,Diesel,Vaneo
BMW,8,20500.0,crossover,73,2.0,Petrol,X1
BMW,14,28000.0,other,100,5.0,Petrol,M5
Volkswagen,8,10650.0,van,130,2.0,Diesel,T5 (Transporter) 
Volkswagen,6,20300.0,other,30,1.4,Petrol,Scirocco
Volkswagen,20,3000.0,vagon,267,1.9,Diesel,Passat B5
Toyota,12,25250.0,crossover,112,4.5,Gas,Land Cruiser 100
Mitsubishi,23,1389.0,hatch,245,1.3,Petrol,Colt
Mercedes-Benz,14,17600.0,sedan,174,4.0,Diesel,S 400
Mercedes-Benz,12,14200.0,van,180,2.2,Diesel,Vito
BMW,15,13700.0,crossover,270,4.6,Gas,X5
Mercedes-Benz,12,23900.0,sedan,187,5.5,Petrol,S 550
Volkswagen,6,32000.0,sedan,144,3.6,Petrol,Passat CC
BMW,28,4599.0,sedan,267,2.0,Gas,520
Volkswagen,21,2350.0,sedan,300,1.9,Diesel,Passat B5
Audi,9,19999.0,vagon,160,2.0,Petrol,A4 Allroad
BMW,7,28900.0,sedan,78,2.0,Petrol,528
Volkswagen,23,3800.0,sedan,300,2.8,Gas,Passat B4
Volkswagen,30,1800.0,other,300,1.3,Petrol,Golf II
Volkswagen,12,9700.0,sedan,201,2.0,Petrol,Passat B6
Mitsubishi,3,25342.2,other,1,2.5,Diesel,L 200
Volkswagen,3,24900.0,sedan,1,1.6,Diesel,Jetta
Renault,8,4999.0,sedan,140,1.4,Petrol,Logan
BMW,28,4700.0,sedan,390,2.5,Petrol,525
Mercedes-Benz,22,4999.0,sedan,1,2.8,Petrol,E-Class
Mercedes-Benz,19,9299.0,sedan,350,2.7,Diesel,E-Class
Mercedes-Benz,12,25000.0,sedan,130,5.5,Petrol,S 550
Mitsubishi,11,12900.0,crossover,148,3.0,Gas,Pajero Sport
Audi,16,9700.0,vagon,189,2.5,Diesel,A6
Renault,5,10100.0,van,64,2.0,Diesel,Trafic
BMW,18,2800.0,sedan,296,3.0,Diesel,730
Mercedes-Benz,19,13500.0,van,350,2.9,Diesel,Sprinter 312
Mitsubishi,10,8900.0,hatch,125,1.8,Petrol,Lancer X Sportback
Mercedes-Benz,3,109999.0,crossover,0,3.0,Diesel,GLS 350
Mercedes-Benz,15,11500.0,sedan,180,3.2,Gas,E-Class
BMW,9,36900.0,crossover,82,3.0,Petrol,X6
Toyota,9,33200.0,crossover,150,4.0,Gas,Land Cruiser Prado
Volkswagen,11,10200.0,van,253,2.5,Diesel,T5 (Transporter)
Volkswagen,3,16999.0,sedan,0,1.6,Petrol,Jetta
Toyota,14,10800.0,sedan,179,3.0,Gas,Camry
Mercedes-Benz,8,35500.0,other,99,2.99,Diesel,E-Class
Volkswagen,12,9900.0,hatch,156,1.6,Petrol,Golf Plus
Renault,11,7900.0,vagon,91,1.5,Diesel,Scenic
Mercedes-Benz,12,13900.0,sedan,216,2.2,Diesel,E-Class
Volkswagen,8,20000.0,sedan,102,1.8,Petrol,Passat CC
Toyota,4,28500.0,crossover,38,2.2,Diesel,Rav 4
Mitsubishi,12,7200.0,sedan,178,1.6,Petrol,Lancer
Mitsubishi,13,9000.0,crossover,200,2.0,Gas,Outlander
Audi,9,36500.0,crossover,115,3.0,Diesel,Q7
Volkswagen,7,8000.0,hatch,41,1.0,Petrol,Up
Audi,4,43000.0,other,11,1.8,Petrol,A6
Toyota,6,13700.0,sedan,48,1.4,Diesel,Corolla
Toyota,13,7899.0,sedan,165,1.8,Gas,Avensis
Renault,7,13999.0,van,180,2.0,Diesel,Trafic
Volkswagen,7,10500.0,van,176,1.6,Diesel,Caddy
Volkswagen,7,20800.0,other,160,2.0,Diesel,Amarok
Mercedes-Benz,16,32000.0,crossover,176,3.2,Gas,G 320
Mercedes-Benz,15,14500.0,sedan,220,5.0,Petrol,S 500
Toyota,5,16900.0,hatch,20,1.6,Petrol,Auris
Mercedes-Benz,6,13600.0,van,172,2.2,Diesel,Vito
Audi,20,2600.0,vagon,273,2.5,Diesel,A6
BMW,16,12000.0,sedan,237,3.0,Diesel,530
Volkswagen,6,18800.0,vagon,106,1.6,Diesel,Passat B7
Toyota,7,35500.0,crossover,85,3.0,Diesel,Land Cruiser Prado
Mercedes-Benz,12,29900.0,other,71,5.5,Petrol,CL 500
Renault,7,6750.0,other,110,1.5,Diesel,Kangoo
BMW,8,34900.0,crossover,117,3.0,Petrol,X5
Volkswagen,11,7700.0,van,177,1.9,Diesel,T5 (Transporter) 
Renault,9,9250.0,vagon,220,1.5,Diesel,Megane
Renault,8,8400.0,hatch,84,1.5,Diesel,Kangoo
Toyota,6,11750.0,sedan,93,1.6,Petrol,Corolla
Mercedes-Benz,19,5800.0,van,368,2.2,Diesel,Vito
Toyota,16,5900.0,crossover,180,3.0,Diesel,Land Cruiser Prado
BMW,8,44999.0,crossover,87,3.0,Diesel,X6
Volkswagen,6,10500.0,van,170,1.6,Diesel,Caddy
Mercedes-Benz,12,17900.0,sedan,190,3.0,Diesel,E-Class
Audi,12,9999.0,sedan,190,3.0,Petrol,A6
Audi,16,9999.0,sedan,190,2.5,Diesel,A6
Volkswagen,3,61000.0,crossover,2,3.0,Diesel,Touareg
Toyota,10,38300.0,crossover,130,5.7,Gas,Land Cruiser 200
Toyota,5,17700.0,sedan,30,1.6,Petrol,Corolla
Volkswagen,6,55555.0,van,50,2.0,Diesel,Multivan
BMW,14,18000.0,crossover,280,3.0,Diesel,X5
Renault,6,7600.0,other,125,1.5,Diesel,Kangoo
Renault,6,6900.0,sedan,68,1.5,Diesel,Logan
Renault,3,15635.1,vagon,0,1.5,Diesel,Dokker
Renault,8,10550.0,van,195,2.0,Diesel,Trafic
Volkswagen,11,12500.0,van,190,1.9,Diesel,T5 (Transporter)
Audi,13,13000.0,sedan,157,3.0,Petrol,A6
BMW,22,7400.0,sedan,285,4.4,Gas,540
Renault,10,9500.0,hatch,100,1.5,Diesel,Megane
Audi,12,18800.0,crossover,197,4.2,Petrol,Q7
Toyota,17,8000.0,sedan,176,3.0,Petrol,Camry
Volkswagen,17,8700.0,vagon,250,1.9,Diesel,Passat B5
Mercedes-Benz,21,9999.0,crossover,300,3.2,Petrol,ML 320
Volkswagen,8,16700.0,sedan,175,2.0,Petrol,Passat CC
Toyota,7,13900.0,hatch,90,1.6,Petrol,Auris
Volkswagen,8,18700.0,other,145,2.0,Diesel,T5 (Transporter) 
Mitsubishi,13,6200.0,sedan,152,1.6,Petrol,Lancer
Renault,18,3600.0,van,22,1.9,Diesel,Kangoo
Renault,12,7500.0,vagon,98,1.4,Petrol,Kangoo
Renault,17,2300.0,van,200,1.9,Diesel,Kangoo
Volkswagen,12,16900.0,crossover,133,2.5,Diesel,Touareg
Mitsubishi,11,13499.0,crossover,116,2.4,Petrol,Outlander XL
Renault,12,5700.0,van,180,1.5,Diesel,Kangoo
Mitsubishi,12,17900.0,crossover,140,3.8,Gas,Pajero Wagon
Volkswagen,13,13900.0,other,170,1.9,Diesel,Multivan
Audi,19,7950.0,vagon,167,2.5,Diesel,A6
BMW,16,9700.0,sedan,250,2.0,Petrol,318
Volkswagen,17,7500.0,sedan,240,1.8,Petrol,Passat B5
Audi,12,19999.0,crossover,117,4.2,Petrol,Q7
BMW,15,9100.0,sedan,230,2.0,Gas,318
Volkswagen,8,13300.0,hatch,73,1.4,Petrol,Golf VI
Volkswagen,5,21000.0,hatch,22,1.2,Other,Golf VII
Audi,21,6600.0,sedan,360,1.8,Petrol,A6
Audi,13,7600.0,vagon,226,3.0,Diesel,A6
Mercedes-Benz,17,3500.0,hatch,258,1.7,Diesel,A 170
Volkswagen,28,3500.0,sedan,3,1.8,Petrol,Passat B3
Mercedes-Benz,7,17900.0,van,167,2.2,Diesel,Vito
Renault,18,1950.0,vagon,286,1.9,Diesel,Laguna
Volkswagen,16,7990.0,sedan,90,1.4,Petrol,New Beetle
Volkswagen,18,6500.0,sedan,320,1.9,Diesel,Passat B5
Mitsubishi,23,3500.0,sedan,300,2.0,Diesel,Galant
Toyota,10,14100.0,sedan,113,2.4,Gas,Camry
Toyota,28,2999.0,other,300,1.6,Petrol,Corolla
BMW,5,66900.0,crossover,70,3.0,Diesel,X5
Toyota,13,13100.0,sedan,200,3.5,Gas,Camry
Volkswagen,21,6900.0,sedan,300,1.8,Petrol,Passat B5
Volkswagen,5,23999.0,sedan,80,2.0,Diesel,Passat B7
Mitsubishi,22,6990.0,crossover,225,2.5,Petrol,Pajero
Toyota,10,13999.0,sedan,198,2.4,Gas,Camry
Renault,6,7600.0,van,108,1.0,Diesel,Kangoo
Renault,7,11100.0,vagon,180,1.5,Diesel,Megane
Mercedes-Benz,8,16500.0,other,260,2.2,Diesel,Sprinter 319
Mercedes-Benz,9,44000.0,other,82,5.5,Petrol,S 500
Audi,5,39900.0,other,12,1.8,Petrol,A5
Mercedes-Benz,8,20500.0,sedan,173,1.8,Gas,E-Class
BMW,19,8000.0,crossover,214,4.4,Petrol,X5
BMW,14,11600.0,sedan,142,2.0,Petrol,320
Renault,7,11500.0,vagon,170,1.5,Diesel,Megane
Volkswagen,8,13700.0,other,103,2.0,Diesel,Passat B6
Mercedes-Benz,13,13700.0,van,198,3.2,Gas,Viano
Renault,12,7700.0,vagon,200,1.5,Diesel,Megane
Mercedes-Benz,25,5800.0,sedan,231,2.2,Petrol,E-Class
Volkswagen,12,9500.0,sedan,95,2.0,Petrol,Passat B6
Mercedes-Benz,10,24900.0,sedan,140,5.5,Petrol,S 550
Volkswagen,3,55500.0,crossover,47,3.0,Diesel,Touareg
Volkswagen,19,6500.0,van,186,2.8,Petrol,Sharan
Mercedes-Benz,13,8300.0,sedan,175,3.2,Diesel,E-Class
Mitsubishi,12,12000.0,crossover,130,3.0,Gas,Pajero Sport
Mercedes-Benz,14,15000.0,crossover,185,3.7,Gas,ML 350
BMW,19,8100.0,sedan,246,3.0,Diesel,530
Renault,14,8000.0,sedan,175,2.0,Gas,Megane
Mercedes-Benz,20,5500.0,van,285,2.3,Diesel,Vito
Renault,8,9600.0,vagon,184,1.5,Diesel,Megane
BMW,17,10800.0,sedan,180,2.0,Petrol,318
Mercedes-Benz,14,10999.0,van,263,2.2,Diesel,Vito
BMW,7,44000.0,crossover,80,3.0,Diesel,X5
Toyota,7,19200.0,hatch,54,1.4,Other,Prius
Mercedes-Benz,6,19600.0,van,127,1.8,Diesel,B 180
Volkswagen,8,9000.0,sedan,135,1.6,Gas,Polo
BMW,16,10900.0,sedan,245,3.0,Diesel,530
Volkswagen,7,12900.0,van,180,2.0,Diesel,T5 (Transporter) 
BMW,20,6600.0,sedan,285,2.5,Petrol,525
Renault,3,15820.35,sedan,0,1.5,Diesel,Fluence
Toyota,16,10200.0,sedan,180,2.4,Petrol,Camry
Mercedes-Benz,25,6000.0,sedan,366,3.2,Gas,E-Class
Audi,31,3500.0,sedan,1,2.0,Other,90
Volkswagen,20,7800.0,van,380,2.5,Diesel,T4 (Transporter)
Toyota,6,35900.0,crossover,84,3.0,Diesel,Land Cruiser Prado
Renault,8,11700.0,crossover,90,1.5,Diesel,Duster
Volkswagen,11,15200.0,crossover,58,2.0,Petrol,Tiguan
Mercedes-Benz,27,2500.0,sedan,111,2.3,Gas,E-Class
Volkswagen,9,16800.0,other,164,2.0,Diesel,T5 (Transporter)
BMW,6,50499.0,sedan,128,3.0,Diesel,730
BMW,22,2250.0,sedan,300,2.5,Petrol,523
Mercedes-Benz,18,9300.0,sedan,270,2.7,Diesel,E-Class
Toyota,17,11500.0,van,161,2.5,Diesel,Hiace
BMW,17,13000.0,sedan,304,4.4,Other,745
Mercedes-Benz,22,7500.0,sedan,319,3.2,Gas,S 320
Mercedes-Benz,10,17999.0,other,38,2.0,Petrol,CLC 200
Renault,13,7300.0,vagon,162,1.5,Diesel,Megane
Toyota,11,29900.0,crossover,117,3.0,Diesel,Land Cruiser Prado
Renault,15,4950.0,vagon,170,1.5,Diesel,Kangoo
Audi,9,36000.0,vagon,40,3.0,Diesel,Q7
Audi,23,1700.0,sedan,177,1.6,Petrol,A4
Audi,11,12450.0,vagon,1,2.0,Diesel,A4
Volkswagen,3,13893.75,sedan,0,1.6,Petrol,Polo
Volkswagen,6,44600.0,crossover,60,3.0,Diesel,Touareg
Toyota,3,35138.29,crossover,0,2.0,Petrol,Rav 4
BMW,25,3500.0,sedan,313,2.5,Diesel,325
Mercedes-Benz,14,12800.0,other,260,2.7,Diesel,Sprinter 316
Volkswagen,6,27000.0,sedan,85,2.0,Diesel,Passat CC
Volkswagen,9,14800.0,sedan,143,2.0,Diesel,Passat B6
Renault,15,2200.0,other,155,1.6,Petrol,Scenic
Volkswagen,24,2900.0,van,433,2.4,Diesel,T4 (Transporter)
Audi,15,12000.0,sedan,200,6.0,Petrol,A8
Volkswagen,6,41000.0,crossover,180,3.0,Diesel,Touareg
Audi,13,16300.0,vagon,180,3.2,Petrol,A6 Allroad
Renault,9,5300.0,van,145,1.5,Other,Kangoo
Mercedes-Benz,4,40500.0,sedan,39,2.2,Diesel,E-Class
Mercedes-Benz,14,4300.0,van,300,2.2,Diesel,Vito
Volkswagen,15,4000.0,crossover,137,2.5,Diesel,Touareg
Volkswagen,12,9600.0,hatch,132,1.6,Petrol,Golf V
Mitsubishi,11,18000.0,crossover,112,3.0,Gas,Pajero Wagon
Renault,8,11300.0,vagon,184,1.5,Diesel,Megane
Volkswagen,17,4999.0,hatch,131,1.4,Petrol,Polo
Mercedes-Benz,7,24999.0,sedan,112,2.2,Diesel,C-Class
Toyota,8,23300.0,crossover,93,2.7,Other,Venza
Toyota,13,14900.0,crossover,124,4.0,Petrol,Fortuner
Audi,9,22800.0,sedan,184,2.7,Diesel,A6
Mercedes-Benz,8,35500.0,sedan,137,3.0,Diesel,E-Class
Volkswagen,13,15000.0,other,280,2.8,Diesel,LT
Toyota,11,8650.0,sedan,132,1.6,Petrol,Corolla
Mitsubishi,8,22400.0,crossover,96,2.5,Diesel,Pajero Sport
Mitsubishi,10,10400.0,sedan,123,2.0,Petrol,Lancer X
Audi,14,10500.0,vagon,198,4.2,Gas,A6 Allroad
Renault,8,11900.0,crossover,68,1.5,Diesel,Duster
BMW,6,36900.0,sedan,17,2.0,Petrol,520
BMW,13,24500.0,crossover,170,3.0,Diesel,X5
Volkswagen,20,4700.0,van,400,2.4,Diesel,T4 (Transporter)
Toyota,6,18100.0,hatch,30,1.6,Petrol,Auris
Mercedes-Benz,6,115000.0,sedan,47,4.6,Petrol,S 500
Mercedes-Benz,17,10900.0,sedan,217,3.2,Diesel,E-Class
BMW,18,7000.0,sedan,280,3.0,Petrol,530
Volkswagen,11,9999.0,vagon,161,2.0,Diesel,Passat B6
Mitsubishi,11,12300.0,other,160,2.5,Diesel,L 200
Volkswagen,3,67622.55,crossover,0,3.0,Diesel,Touareg
Volkswagen,6,18900.0,other,45,2.0,Diesel,Passat B7
Volkswagen,17,6999.0,sedan,248,1.8,Petrol,Passat B5
Mercedes-Benz,16,10250.0,sedan,261,1.8,Petrol,E-Class
Toyota,19,3500.0,sedan,286,1.6,Petrol,Corolla
BMW,13,13500.0,crossover,250,3.0,Diesel,X5
BMW,23,2450.0,sedan,328,2.5,Diesel,525
Volkswagen,15,7500.0,van,180,2.5,Diesel,T5 (Transporter) 
Volkswagen,12,4900.0,vagon,263,2.0,Diesel,Passat B6
Mercedes-Benz,23,5000.0,vagon,248,2.0,Gas,E-Class
BMW,10,29900.0,crossover,235,3.0,Diesel,X5
Renault,7,7000.0,sedan,110,1.4,Petrol,Symbol
Mitsubishi,9,11800.0,sedan,1,1.5,Gas,Lancer X
Mercedes-Benz,10,16500.0,van,223,2.2,Diesel,Vito
BMW,18,5300.0,sedan,147,2.2,Gas,320
Mercedes-Benz,15,7200.0,van,200,2.2,Diesel,Vito
Volkswagen,11,8500.0,van,230,1.9,Diesel,Caddy
BMW,8,39000.0,crossover,180,3.0,Diesel,X5
Volkswagen,19,1850.0,vagon,270,1.9,Diesel,Passat B5
Audi,8,36100.0,sedan,75,3.0,Diesel,A7
Mitsubishi,26,3149.25,hatch,330,2.0,Gas,Galant
Renault,12,5800.0,van,159,1.5,Diesel,Kangoo
BMW,22,6700.0,sedan,370,2.0,Petrol,320
Renault,3,18988.13,crossover,0,1.5,Diesel,Duster
Volkswagen,3,28660.0,van,0,1.6,Diesel,Caddy
BMW,20,2999.0,sedan,210,2.0,Other,320
BMW,3,64500.0,crossover,1,2.0,Diesel,X5
Toyota,12,21500.0,crossover,135,2.0,Gas,Land Cruiser Prado
